,Anno,Regione,Affluenza
72,1963,Sardegna,0.8963386608098819
73,1963,Sicilia,0.8703087857286038
74,1963,Toscana,0.9634339084366
75,1963,Trentino-Alto Adige,0.9416420576290231
76,1963,Umbria,0.9429071844796381
77,1963,Valle d'Aosta,0.9301858362631843
78,1963,Veneto,0.9460421058209708
79,1968,Abruzzo,0.8714536598296829
80,1968,Basilicata,0.8891345627116335
81,1968,Calabria,0.8556123788297805
82,1968,Campania,0.8912084382827419
83,1968,Emilia-Romagna,0.9704822952534798
84,1968,Friuli-Venezia Giulia,0.9152476363605576
85,1968,Lazio,0.9374775989220546
86,1968,Liguria,0.9375569819551839
87,1968,Lombardia,0.9656179553146886
88,1968,Marche,0.9479601017551391
89,1968,Molise,0.8309812185915102
90,1968,Piemonte,0.9534347966622972
91,1968,Puglia,0.9191374386215954
92,1968,Sardegna,0.9019662971605882
93,1968,Sicilia,0.8508354255229674
94,1968,Toscana,0.9652288397636464
95,1968,Trentino-Alto Adige,0.9458429637267116
96,1968,Umbria,0.9468249483989253
97,1968,Valle d'Aosta,0.9165960259191678
98,1968,Veneto,0.9546095723682719
99,1972,Abruzzo,0.871605118012487
100,1972,Basilicata,0.8903056317202371
101,1972,Calabria,0.8444203430268233
102,1972,Campania,0.891455256520371
103,1972,Emilia-Romagna,0.9737103887643405
104,1972,Friuli-Venezia Giulia,0.9252169819647533
105,1972,Lazio,0.9414871449407245
106,1972,Liguria,0.9456674757561475
107,1972,Lombardia,0.9663217665136205
108,1972,Marche,0.9527752592587636
109,1972,Molise,0.8274269958177579
110,1972,Piemonte,0.9421285807783316
111,1972,Puglia,0.9132573350214434
112,1972,Sardegna,0.9044833380313142
113,1972,Sicilia,0.8527931636494046
114,1972,Toscana,0.9692815827416047
115,1972,Trentino-Alto Adige,0.948312514198557
116,1972,Umbria,0.9566178639040307
117,1972,Valle d'Aosta,0.9353996241432677
118,1972,Veneto,0.9591923475939984
119,1976,Abruzzo,0.8931667087435833
120,1976,Basilicata,0.8954527394307259
121,1976,Calabria,0.8552583717169415
122,1976,Campania,0.8923884290962517
123,1976,Emilia-Romagna,0.973975168818261
124,1976,Friuli-Venezia Giulia,0.931315793146116
125,1976,Lazio,0.9396145281880047
126,1976,Liguria,0.9459634010139496
127,1976,Lombardia,0.9607816566161506
128,1976,Marche,0.9565707046589871
129,1976,Molise,0.8566503985836463
130,1976,Piemonte,0.9491797121500558
131,1976,Puglia,0.919307937384811
132,1976,Sardegna,0.9135031323935189
133,1976,Sicilia,0.863737241699583
134,1976,Toscana,0.9659496361203744
135,1976,Trentino-Alto Adige,0.9464590852317571
136,1976,Umbria,0.9584660393124672
137,1976,Valle d'Aosta,0.9149099678030554
138,1976,Veneto,0.9602727740743585
139,1979,Abruzzo,0.822831802695897
140,1979,Basilicata,0.8536107515114308
141,1979,Calabria,0.772067548632238
142,1979,Campania,0.8555700284923835
143,1979,Emilia-Romagna,0.9592875521623465
144,1979,Friuli-Venezia Giulia,0.9024495811687253
145,1979,Lazio,0.9156051401082979
146,1979,Liguria,0.9179194536482679
147,1979,Lombardia,0.9490375856780925
148,1979,Marche,0.9236449120772147
149,1979,Molise,0.7431052589062122
150,1979,Piemonte,0.9332392730715229
151,1979,Puglia,0.8853174986249397
152,1979,Sardegna,0.8748811130337327
153,1979,Sicilia,0.8061968931939043
154,1979,Toscana,0.9505574687513224
155,1979,Trentino-Alto Adige,0.9272346662630097
156,1979,Umbria,0.9359594460487612
157,1979,Valle d'Aosta,0.9121164508966252
158,1979,Veneto,0.9347398987737958
159,1983,Abruzzo,0.8249402512181168
160,1983,Basilicata,0.8581303328548796
161,1983,Calabria,0.7790855789190169
162,1983,Campania,0.853306020475684
163,1983,Emilia-Romagna,0.946266457619583
164,1983,Friuli-Venezia Giulia,0.8843131520804863
165,1983,Lazio,0.8935639750833849
166,1983,Liguria,0.8926599982847094
167,1983,Lombardia,0.9201364247740103
168,1983,Marche,0.916643415834154
169,1983,Molise,0.7545381614547285
170,1983,Piemonte,0.9057998510654252
171,1983,Puglia,0.880876271546488
172,1983,Sardegna,0.8679078366325421
173,1983,Sicilia,0.8044120573591672
174,1983,Toscana,0.9321419142738877
175,1983,Trentino-Alto Adige,0.9080266010658938
176,1983,Umbria,0.9242798913280252
177,1983,Valle d'Aosta,0.8915115866335378
178,1983,Veneto,0.9175082521845501
179,1987,Abruzzo,0.821232955529243
180,1987,Basilicata,0.8476638498575219
181,1987,Calabria,0.7634777927024309
182,1987,Campania,0.837986459561179
183,1987,Emilia-Romagna,0.9478300971204612
184,1987,Friuli-Venezia Giulia,0.8868075928856983
185,1987,Lazio,0.888115951837098
186,1987,Liguria,0.8844996446951423
187,1987,Lombardia,0.9273530058377959
188,1987,Marche,0.9118676395686747
189,1987,Molise,0.7457972607759608
190,1987,Piemonte,0.9069762452411548
191,1987,Puglia,0.8658202277304756
192,1987,Sardegna,0.8643787633921257
193,1987,Sicilia,0.7847505598909772
194,1987,Toscana,0.9288247680168669
195,1987,Trentino-Alto Adige,0.9107514117989582
196,1987,Umbria,0.921676564680113
197,1987,Valle d'Aosta,0.883696053116931
198,1987,Veneto,0.9210752110468042
199,1992,Abruzzo,0.8032466948559158
200,1992,Basilicata,0.8255035966058378
201,1992,Calabria,0.7342399186461963
202,1992,Campania,0.8228606662457415
