,Professione,Senatori,anno
19,Ricercatore,3,1996
20,Tecnico,3,1996
21,Assicuratore,2,1996
22,Commerciante,2,1996
23,Operaio,2,1996
24,Agente o rappresentante,1,1996
25,Amministratore locale,1,1996
26,Amministratore o manager,1,1996
27,Appartenente alle forze dell'ordine e di sicurezza,1,1996
28,Artigiano,1,1996
29,Artista o professionista dello spettacolo,1,1996
30,Diplomatico,1,1996
31,Notaio,1,1996
0,Avvocato,52,2001
1,Docente universitario,42,2001
2,Dirigente,36,2001
3,Imprenditore,30,2001
4,Medico,28,2001
5,Impiegato,24,2001
6,Insegnante,20,2001
7,Giornalista,13,2001
8,Ingegnere,11,2001
9,Funzionario di partito,10,2001
10,Magistrato,9,2001
11,Consulente,8,2001
12,Altra professione intellettuale o scientifica,7,2001
13,Sindacalista o esponente di associazione,7,2001
14,Commercialista,4,2001
15,Pubblicista,4,2001
16,Architetto,3,2001
17,Militare di carriera,2,2001
18,Notaio,2,2001
19,Operaio,2,2001
20,Tecnico,2,2001
21,Agente o rappresentante,1,2001
22,Amministratore o manager,1,2001
23,Assicuratore,1,2001
24,Commerciante,1,2001
25,Farmacista,1,2001
26,Industriale,1,2001
27,Ricercatore,1,2001
0,Dirigente,54,2006
1,Avvocato,44,2006
2,Docente universitario,37,2006
3,Imprenditore,33,2006
4,Giornalista,32,2006
5,Insegnante,26,2006
6,Impiegato,20,2006
7,Pubblicista,19,2006
8,Consulente,15,2006
9,Funzionario di partito,15,2006
10,Ingegnere,12,2006
11,Medico,12,2006
12,Magistrato,9,2006
13,Sindacalista o esponente di associazione,8,2006
14,Commercialista,6,2006
15,Industriale,5,2006
16,Ricercatore,4,2006
17,Commerciante,3,2006
18,Amministratore locale,2,2006
19,Artista o professionista dello spettacolo,2,2006
20,Notaio,2,2006
21,Operaio,2,2006
22,Architetto,1,2006
23,Assicuratore,1,2006
24,Militare di carriera,1,2006
0,Dirigente,51,2008
1,Avvocato,46,2008
2,Imprenditore,38,2008
3,Amministratore locale,30,2008
4,Docente universitario,28,2008
5,Insegnante,28,2008
6,Giornalista,26,2008
7,Medico,23,2008
8,Consulente,16,2008
9,Pubblicista,14,2008
10,Funzionario di partito,13,2008
11,Sindacalista o esponente di associazione,13,2008
12,Impiegato,11,2008
13,Magistrato,10,2008
14,Ingegnere,9,2008
15,Commercialista,6,2008
16,Architetto,5,2008
17,Commerciante,3,2008
18,Industriale,3,2008
19,Tecnico,3,2008
20,Altra professione intellettuale o scientifica,2,2008
21,Farmacista,2,2008
22,Militare di carriera,2,2008
23,Notaio,2,2008
24,Amministratore o manager,1,2008
25,Artista o professionista dello spettacolo,1,2008
26,Assicuratore,1,2008
27,Diplomatico,1,2008
28,Ragioniere,1,2008
29,Ricercatore,1,2008
0,Impiegato,45,2013
1,Amministratore locale,44,2013
2,Imprenditore,38,2013
3,Avvocato,35,2013
4,Dirigente,33,2013
5,Docente universitario,31,2013
6,Funzionario di partito,24,2013
7,Medico,24,2013
8,Insegnante,23,2013
9,Giornalista,14,2013
10,Sindacalista o esponente di associazione,14,2013
11,Consulente,13,2013
12,Ricercatore,9,2013
13,Architetto,8,2013
14,Pubblicista,8,2013
15,Ingegnere,7,2013
16,Amministratore o manager,6,2013
17,Magistrato,6,2013
18,Tecnico,6,2013
19,Commercialista,5,2013
20,Altra professione intellettuale o scientifica,4,2013
21,Agricoltore,3,2013
22,Artigiano,3,2013
23,Infermiere,3,2013
